# # генерируем данные
# set.seed(6)
# n = 15
# h = runif(n, 140, 210) # "независимая" переменная
# w =                    # задаваемая переменная
#   -52.5 + 0.75 * h +   # формула зависимости
#   rnorm(n, 0, 4)       # распределение ошибок
# d = tibble(h, w)
# 
# d = rbind(d,c(160, 58))
# d = rbind(d,c(180, 65))
# 
# d = sample_frac(d)
h,w
160.67609620979056,70.37811156871669
193.8952189241536,99.09663946106906
205.6349381036125,103.5729830840381
158.50464473245665,68.4821399123593
146.66628065519035,60.414504295661935
208.46530076814815,101.93104461701061
166.60657435422763,76.24991413949643
185.05009356187657,92.21662936600246
144.5133756683208,58.710277843063324
207.05536015331745,108.26392689973028
193.39122995035723,91.8718946334439
175.67539744544774,74.67779464152518
180,65
204.11362189799547,94.33989961009365
182.438780835364,81.70485513790207
160,58
196.52383723296225,92.07205349948956
